1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),JK Rowling and Mary GrandPr,4.57,439785952,9780000194560,eng,652,2095690,27591,2006-09-16,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),JK Rowling and Mary GrandPr,4.49,439358080,9780000194560,eng,870,2153167,29221,2004-09-01,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),JK Rowling,4.42,439554880,9780000194560,eng,352,6333,244,2003-11-01,Scholastic
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),JK Rowling and Mary GrandPr,4.78,439682592,9780000194560,eng,2690,41428,164,2004-09-13,Scholastic
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W Frederick Zimmerman,3.74,976540608,9780000194560,en-US,152,19,1,2005-04-26,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),JK Rowling,4.73,439827616,9780000194560,eng,3342,28242,808,2005-09-12,Scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226944,9780000194560,eng,815,3628,254,2005-11-01,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453728,9780000194560,eng,815,249558,4080,2002-04-30,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052864,9780000194560,eng,215,4930,460,2004-08-03,Crown
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams and Stephen Fry,4.22,739322176,9780000194560,eng,6,1266,253,2005-03-23,Random House Audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149248,9780000194560,eng,815,2877,195,1996-01-17,Wings Books
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915072,9780000194560,eng,55,7270,499,2002-12-03,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910464,9780000194560,eng,256,2088,131,2004-09-14,Broadway Books
24,In a Sunburned Country,Bill Bryson,4.07,767903872,9780000194560,eng,335,72451,4245,2001-05-15,Broadway Books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780000194560,eng,299,45712,2257,1990-08-28,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713792,9780000194560,eng,254,48701,2238,1993-03-28,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,380727488,9780000194560,eng,324,80609,3301,1997-05-28,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715424,9780000194560,eng,270,28489,2085,1991-09-28,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,JRR Tolkien,4.59,345538368,9780000194560,eng,1728,101233,1550,2012-09-25,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),JRR Tolkien,4.5,618517632,9780000194560,eng,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt
